"Accelerometer",,"20150701161057299","-1.906848669052124","2.8602731227874756","9.261836051940918","Magnetometer",,"20150701161057300","23.5","-28.6875","-32.1875","Gyroscope",,"20150701161057301","-0.4400000274181366","0.3540000021457672","-0.47600001096725464","Gravity",,"20150701161057301","-1.0099999904632568","1.840000033378601","9.569999694824219"
"Accelerometer",,"20150701161057303","-1.1849702596664429","2.2882184982299805","9.261836051940918","Magnetometer",,"20150701161057303","23.3125","-29.0625","-31.8125","Gyroscope",,"20150701161057306","-0.7660000324249268","-0.3710000216960907","-0.36400002241134644","Gravity",,"20150701161057307","-1.2100000381469727","2.059999942779541","9.5"
"Accelerometer",,"20150701161057308","-0.6810173988342285","1.5663399696350098","9.643206596374512","Magnetometer",,"20150701161057309","23.375","-29.25","-32.1875","Gyroscope",,"20150701161057310","-0.6730000376701355","-0.42100003361701965","-0.25200000405311584","Gravity",,"20150701161057311","-1.2300000190734863","2.109999895095825","9.479999542236328"
"Accelerometer",,"20150701161057319","-0.5311935544013977","1.334794044494629","10.256121635437012","Magnetometer",,"20150701161057320","23.0","-28.875","-32.6875","Gyroscope",,"20150701161057320","-0.44300001859664917","0.25200000405311584","-0.04000000283122063","Gravity",,"20150701161057321","-1.2400000095367432","2.0299999713897705","9.5"
"Accelerometer",,"20150701161057323","-1.375655174255371","1.8387469053268433","9.261836051940918","Magnetometer",,"20150701161057323","22.375","-28.8125","-32.8125","Gyroscope",,"20150701161057325","-0.3160000145435333","0.9800000190734863","0.01100000087171793","Gravity",,"20150701161057325","-1.3899999856948853","1.9500000476837158","9.5"
"Accelerometer",,"20150701161057327","-1.4437568187713623","1.8659876585006714","9.643206596374512","Magnetometer",,"20150701161057328","22.6875","-28.8125","-33.25","Gyroscope",,"20150701161057329","-0.22200001776218414","0.492000013589859","-0.16100001335144043","Gravity",,"20150701161057330","-1.4900000095367432","1.8899999856948853","9.489999771118164"
"Accelerometer",,"20150701161057425","-1.1849702596664429","1.6344417333602905","9.220975875854492","Magnetometer",,"20150701161057427","22.5","-28.6875","-33.375","Gyroscope",,"20150701161057427","-0.17600001394748688","0.2590000033378601","-0.406000018119812","Gravity",,"20150701161057428","-1.5399999618530273","1.850000023841858","9.489999771118164"
"Accelerometer",,"20150701161057430","-0.871702253818512","1.6344417333602905","9.220975875854492","Magnetometer",,"20150701161057431","22.6875","-28.9375","-32.9375","Gyroscope",,"20150701161057432","-0.21000000834465027","-0.13100001215934753","-0.4270000159740448","Gravity",,"20150701161057432","-1.5399999618530273","1.7899999618530273","9.5"
"Accelerometer",,"20150701161057433","-0.9125633239746094","1.8387469053268433","9.5342435836792","Magnetometer",,"20150701161057437","22.3125","-29.1875","-33.5625","Gyroscope",,"20150701161057437","-0.22700001299381256","-0.09400000423192978","-0.33500000834465027","Gravity",,"20150701161057438","-1.5099999904632568","1.7400000095367432","9.520000457763672"
"Accelerometer",,"20150701161057440","-0.9942854046821594","1.6753027439117432","9.684066772460938","Magnetometer",,"20150701161057441","21.6875","-28.5625","-33.25","Gyroscope",,"20150701161057446","-0.4300000071525574","-0.004000000189989805","-0.22800001502037048","Gravity",,"20150701161057448","-1.4800000190734863","1.6699999570846558","9.539999961853027"
"Accelerometer",,"20150701161057449","-0.7218784093856812","0.953424334526062","9.60234546661377","Magnetometer",,"20150701161057450","21.4375","-28.4375","-33.4375","Gyroscope",,"20150701161057451","-0.5100000500679016","0.08500000089406967","-0.03200000151991844","Gravity",,"20150701161057452","-1.4299999475479126","1.600000023841858","9.5600004196167"
"Accelerometer",,"20150701161057453","-0.14982382953166962","1.334794044494629","9.643206596374512","Magnetometer",,"20150701161057455","21.375","-28.6875","-33.8125","Gyroscope",,"20150701161057457","-0.2639999985694885","0.015000000596046448","0.2150000035762787","Gravity",,"20150701161057457","-1.2899999618530273","1.4500000476837158","9.600000381469727"
"Accelerometer",,"20150701161057458","-1.375655174255371","2.0294318199157715","9.806650161743164","Magnetometer",,"20150701161057460","21.8125","-28.375","-33.5","Gyroscope",,"20150701161057461","-0.023000001907348633","0.1600000113248825","0.12700000405311584","Gravity",,"20150701161057463","-1.0700000524520874","1.399999976158142","9.630000114440918"
"Accelerometer",,"20150701161057464","-1.375655174255371","2.5197644233703613","9.452521324157715","Magnetometer",,"20150701161057465","21.0625","-28.5625","-34.0625","Gyroscope",,"20150701161057467","-0.6360000371932983","0.242000013589859","-0.3680000305175781","Gravity",,"20150701161057468","-1.0800000429153442","1.4199999570846558","9.630000114440918"
"Accelerometer",,"20150701161057469","-0.8308411836624146","2.22011661529541","9.152873992919922","Magnetometer",,"20150701161057470","21.25","-29.25","-33.625","Gyroscope",,"20150701161057470","-0.7570000290870667","0.43400001525878906","-0.5400000214576721","Gravity",,"20150701161057471","-1.2000000476837158","1.4500000476837158","9.609999656677246"
"Accelerometer",,"20150701161057481","-0.953424334526062","2.22011661529541","8.989429473876953","Magnetometer",,"20150701161057482","21.5","-29.125","-33.375","Gyroscope",,"20150701161057483","-0.5630000233650208","-0.013000000268220901","-0.32600000500679016","Gravity",,"20150701161057484","-1.2200000286102295","1.3899999856948853","9.619999885559082"
"Accelerometer",,"20150701161057501","-1.334794044494629","2.6014864444732666","9.72492790222168","Magnetometer",,"20150701161057502","21.125","-29.375","-33.5","Gyroscope",,"20150701161057502","-0.5520000457763672","0.17800000309944153","-0.31200000643730164","Gravity",,"20150701161057503","-1.2300000190734863","1.340000033378601","9.619999885559082"
